price,location
28995,houston
43229,houston
22500,houston
52044,houston
2000,houston
35980,sanantonio
18995,sanantonio
17500,sanantonio
17831,sanantonio
19995,sanantonio
21900,sanantonio
19995,sanantonio
24995,sanantonio
18900,sanantonio
38900,sanantonio
23125,sanantonio
18900,sanantonio
48288,sanantonio
14125,sanantonio
1,sanantonio
1,sanantonio
1,sanantonio
1500,sandiego
25990,sandiego
21500,sandiego
16500,sandiego
94998,sandiego
7900,sandiego
42500,sandiego
17800,houston
3200,houston
29343,houston
29354,houston
55472,houston
19000,houston
500,houston
15714,houston
200,houston
1500,houston
35995,houston
33000,houston
73000,sanantonio
1,sanantonio
1,sanantonio
1,sanantonio
1,sanantonio
1,sanantonio
54995,sanantonio
22995,sanantonio
21900,sanantonio
15000,sanantonio
13500,sanantonio
54995,sanantonio
17900,sanantonio
9995,sanantonio
23547,sanantonio
28000,houston
22549,houston
64995,houston
3500,houston
19864,houston
6600,houston
7900,houston
11900,houston
41500,houston
60,houston
35,houston
16500,houston
28631,houston
175,houston
24500,houston
5950,houston
17500,houston
54450,losangeles
14999,losangeles
21999,losangeles
817,losangeles
2200,losangeles
219535,losangeles
228123,losangeles
149900,losangeles
142533,losangeles
127407,losangeles
42900,losangeles
85,losangeles
20999,losangeles
24995,losangeles
26999,losangeles
22999,losangeles
6997,losangeles
21499,losangeles
41000,losangeles
34999,losangeles
19900,losangeles
69900,losangeles
12999,losangeles
12999,losangeles
45500,losangeles
13995,losangeles
9800,losangeles
18499,losangeles
4250,losangeles
8000,losangeles
175,losangeles
42900,losangeles
16999,losangeles
14350,losangeles
15000,losangeles
22995,losangeles
14350,losangeles
13995,losangeles
24995,losangeles
11995,losangeles
14350,losangeles
38995,losangeles
9995,losangeles
89995,losangeles
10995,losangeles
699957,losangeles
28995,losangeles
7995,losangeles
39995,losangeles
29995,losangeles
49995,losangeles
1200,losangeles
22995,losangeles
49995,losangeles
10995,losangeles
2950,losangeles
90,losangeles
8999,losangeles
30400,losangeles
149900,losangeles
139850,losangeles
1999,losangeles
1999,losangeles
1999,losangeles
16999,philadelphia
1999,losangeles
1299,losangeles
1999,losangeles
2000,losangeles
61900,losangeles
2950,losangeles
26400,losangeles
94450,losangeles
2600,losangeles
2500,losangeles
17999,losangeles
13500,losangeles
26400,losangeles
28588,chicago
1,newyork
14999,philadelphia
14999,philadelphia
16999,philadelphia
63999,philadelphia
63999,philadelphia
34999,philadelphia
19500,philadelphia
19999,philadelphia
34999,philadelphia
9999,philadelphia
13999,philadelphia
32999,philadelphia
8888,phoenix
16999,losangeles
99,losangeles
18495,losangeles
35995,losangeles
26995,losangeles
1495,losangeles
40000,losangeles
1950,losangeles
10999,losangeles
23440,losangeles
79900,losangeles
39900,losangeles
11999,losangeles
8000,losangeles
5000,losangeles
199,chicago
5,chicago
6250,chicago
6250,chicago
7950,chicago
14000,chicago
29995,chicago
16000,chicago
21900,chicago
